district,style,extwall,stories,year_built,nr_of_rms,units,bdrms,fbath,hbath,lotsize,sale_price,nbhd,finishedsqft
1,Single,Aluminum_Vinyl,1.5,1959,0,1,4,2,0,7000,129000,600,1734
1,Single,Brick,1.0,1951,0,1,3,2,1,8100,67000,1140,1718
1,Single,Brick,1.5,1938,0,1,3,1,1,5040,103000,1620,1614
1,Single,Aluminum_Vinyl,1.5,1960,0,1,4,2,0,6000,150000,600,1582
1,Single,Aluminum_Vinyl,1.0,1954,0,1,4,2,1,4920,89900,1440,1556
1,Single,Aluminum_Vinyl,1.0,1949,0,1,3,1,0,5080,83000,1340,1455
1,Single,Stone,1.0,1948,0,1,3,1,1,8820,104000,1340,1437
1,Single,Brick,1.0,1951,0,1,3,1,0,6750,146200,1220,1413
1,Single,Aluminum_Vinyl,1.0,1949,0,1,4,1,1,5888,70000,900,1411
1,Single,Frame,1.5,1951,0,1,5,2,0,4830,89000,1340,1409
1,Single,Aluminum_Vinyl,1.0,1950,0,1,4,1,0,5670,44000,1440,1386
1,Single,Aluminum_Vinyl,1.0,1952,0,1,3,2,0,5625,49900,1140,1384
1,Single,Aluminum_Vinyl,1.0,1952,0,1,3,2,0,5625,107500,1140,1384
1,Single,Brick,1.0,1949,0,1,4,1,1,4905,75000,1440,1381
1,Single,Block,1.5,1945,0,1,2,1,0,5280,58500,1340,1375
1,Single,Brick,1.0,1950,0,1,3,1,0,6360,91500,900,1358
1,Single,Aluminum_Vinyl,1.0,1954,0,1,3,1,0,9120,105000,380,1344
1,Single,Brick,1.0,1948,0,1,4,1,0,5175,40000,1500,1328
1,Single,Brick,1.0,1951,0,1,3,1,1,6480,61000,1140,1308
1,Single,Frame,1.0,1954,0,1,3,2,0,6750,146000,1220,1305
1,Single,Aluminum_Vinyl,1.0,1954,0,1,5,1,0,8540,124000,1200,1300
1,Single,Stone,1.0,1948,0,1,3,1,1,8151,79000,380,1248
1,Single,Aluminum_Vinyl,1.0,1953,0,1,3,2,0,6440,86900,1150,1248
1,Single,Brick,1.0,1955,0,1,4,2,0,5640,109900,1200,1239
1,Single,Aluminum_Vinyl,1.0,1939,0,1,3,1,1,18209,96900,560,1229
1,Single,Frame,1.0,1954,0,1,3,1,0,5265,99900,1200,1224
1,Single,Aluminum_Vinyl,1.0,1954,0,1,4,1,1,5376,53000,1140,1222
1,Single,Brick,1.0,1951,0,1,3,1,0,5658,113000,1620,1216
1,Single,Aluminum_Vinyl,1.5,1940,0,1,3,1,1,6250,72500,1150,1209
1,Single,Aluminum_Vinyl,1.5,1939,0,1,2,1,1,5280,64000,560,1198
1,Single,Aluminum_Vinyl,1.0,1951,0,1,4,1,0,6960,68000,1140,1195
1,Single,Aluminum_Vinyl,1.0,1951,0,1,3,1,0,4800,33500,1160,1195
1,Single,Brick,1.0,1945,0,1,4,1,0,5920,61200,1500,1150
1,Single,Aluminum_Vinyl,1.5,1941,0,1,3,1,1,5000,54800,1340,1109
1,Single,Stone,1.0,1952,0,1,3,1,1,9541,55000,900,1101
1,Single,Aluminum_Vinyl,1.0,1955,0,1,3,1,1,11584,115000,380,1096
1,Single,Frame,1.0,1952,0,1,4,1,0,6603,59900,1440,1095
1,Single,Frame,1.0,1946,0,1,2,1,0,6674,37500,900,1092
1,Single,Aluminum_Vinyl,1.0,1951,0,1,4,1,0,7020,50000,1140,1092
1,Single,Block,1.0,1945,0,1,4,1,0,4760,37500,1500,1092
1,Single,Brick,1.5,1937,0,1,2,1,1,6250,73000,1340,1078
1,Single,Frame,1.0,1947,0,1,3,1,0,3920,70000,1440,1068
1,Single,Aluminum_Vinyl,1.0,1936,0,1,3,1,0,4880,83000,900,1056
1,Single,Aluminum_Vinyl,1.0,1951,0,1,3,1,0,6120,93207,1140,1036
1,Single,Stone,1.0,1947,0,1,2,1,1,3720,55000,1440,1036
1,Single,Frame,1.0,1947,0,1,3,1,0,3920,20000,1440,992
1,Single,Aluminum_Vinyl,1.5,1946,0,1,3,1,0,21780,91000,560,985
1,Single,Aluminum_Vinyl,1.0,1946,0,1,3,1,0,5680,45000,900,958
1,Single,Aluminum_Vinyl,1.0,1952,0,1,2,1,0,4800,65000,900,912
1,Single,Aluminum_Vinyl,1.0,1939,0,1,2,1,0,8040,40000,1140,899
1,Single,Stone,1.0,1951,0,1,2,1,0,5360,62000,1340,897
1,Single,Aluminum_Vinyl,1.0,1952,0,1,3,1,0,5160,50000,900,895
1,Single,Aluminum_Vinyl,1.0,1943,0,1,2,1,0,4800,54900,1340,872
1,Single,Aluminum_Vinyl,1.0,1949,0,1,2,1,0,3600,48000,900,861
